year,country,population
2012,Pakistan,207667125.0
2013,Pakistan,211073978.0
2014,Pakistan,214264647.0
2015,Pakistan,217290883.0
2016,Pakistan,220138869.0
2017,Pakistan,223273967.0
2018,Pakistan,226928892.0
2019,Pakistan,230800899.0
2020,Pakistan,235001746.0
2021,Pakistan,239477801.0
2022,Pakistan,243700667.0
2023,Pakistan,247504495.0
1985,China,1051040000.0
1986,China,1066790000.0
1987,China,1084035000.0
1988,China,1101630000.0
1989,China,1118650000.0
1990,China,1135185000.0
1991,China,1150780000.0
1992,China,1164970000.0
1993,China,1178440000.0
1994,China,1191835000.0
1995,China,1204855000.0
1996,China,1217550000.0
1997,China,1230075000.0
1998,China,1241935000.0
1999,China,1252735000.0
2000,China,1262645000.0
2001,China,1271850000.0
2002,China,1280400000.0
2003,China,1288400000.0
2004,China,1296075000.0
2005,China,1303720000.0
2006,China,1311020000.0
2007,China,1317885000.0
2008,China,1324655000.0
2009,China,1331260000.0
2010,China,1337705000.0
2011,China,1345035000.0
2012,China,1354190000.0
2013,China,1363240000.0
2014,China,1371860000.0
2015,China,1379860000.0
2016,China,1387790000.0
2017,China,1396215000.0
2018,China,1402760000.0
2019,China,1407745000.0
2020,China,1411100000.0
2021,China,1412360000.0
2022,China,1412175000.0
2023,China,1410710000.0
1985,Singapore,2735957.0
1986,Singapore,2733373.0
1987,Singapore,2774789.0
1988,Singapore,2846108.0
1989,Singapore,2930901.0
1990,Singapore,3047132.0
1991,Singapore,3135083.0
1992,Singapore,3230698.0
1993,Singapore,3313471.0
1994,Singapore,3419048.0
1995,Singapore,3524506.0
1996,Singapore,3670704.0
1997,Singapore,3796038.0
1998,Singapore,3927213.0
1999,Singapore,3958723.0
2000,Singapore,4027887.0
2001,Singapore,4138012.0
2002,Singapore,4175950.0
2003,Singapore,4114826.0
2004,Singapore,4166664.0
2005,Singapore,4265762.0
2006,Singapore,4401365.0
2007,Singapore,4588599.0
2008,Singapore,4839396.0
2009,Singapore,4987573.0
2010,Singapore,5076732.0
2011,Singapore,5183688.0
2012,Singapore,5312437.0
2013,Singapore,5399162.0
2014,Singapore,5469724.0
2015,Singapore,5535002.0
2016,Singapore,5607283.0
2017,Singapore,5612253.0
2018,Singapore,5638676.0
2019,Singapore,5703569.0
2020,Singapore,5685807.0
