year,Uganda,Nigeria,Rwanda,Senegal,Ethiopia,Algeria,"Egypt, Arab Rep.",South Africa,Morocco,Ghana,Brazil,Colombia,Paraguay,Guatemala,Haiti,Canada,United States,Chile,Argentina,Panama,Philippines,Bangladesh,India,Nepal,Pakistan,China,Singapore,Japan,Malaysia,Thailand,Hungary,Romania,Serbia,Bulgaria,Ukraine,Switzerland,Norway,Iceland,Denmark,Sweden,Oman,Jordan,Lebanon,Iraq,"Yemen, Rep.",United Arab Emirates,Israel,Bahrain,Qatar,Saudi Arabia,Australia,New Zealand,Palau,Kiribati,Marshall Islands,"Micronesia, Fed. Sts.",Nauru,Samoa,Solomon Islands,Tonga,total
1990,182.5,209.6,152.1,138.5,202.5,51.0,85.7,62.3,80.8,127.6,63.0,35.7,45.5,80.4,144.8,8.2,11.2,19.1,28.8,30.4,56.1,146.0,126.5,138.4,139.7,53.7,7.7,6.3,16.6,37.1,17.3,31.0,27.9,18.4,19.3,8.2,8.7,6.3,8.9,7.0,39.0,36.0,31.9,53.7,125.4,15.2,11.5,23.0,20.8,44.3,9.2,11.2,35.5,91.1,47.7,49.5,67.1,29.8,38.1,22.2,57.383333333333326
1991,178.4,209.1,161.3,136.5,197.5,50.4,81.4,61.0,77.3,123.5,60.2,34.4,43.8,76.8,140.7,8.0,10.9,17.6,28.3,29.7,52.8,139.7,122.9,131.3,137.0,53.2,7.0,6.2,15.8,35.1,16.6,29.2,25.5,18.8,19.3,7.8,7.9,6.1,8.4,6.6,35.3,34.8,30.4,52.7,121.7,14.4,11.0,22.7,19.4,40.9,8.7,10.6,34.8,87.5,45.9,48.2,63.8,28.9,37.1,21.4,55.73666666666667
1992,174.3,208.3,174.2,136.0,192.1,50.0,77.3,60.2,74.0,120.2,57.2,33.3,42.3,73.4,136.4,7.7,10.5,16.2,27.6,29.1,49.8,133.4,119.5,124.4,134.1,52.2,6.3,6.1,15.1,33.1,15.6,28.5,24.3,19.1,19.5,7.5,7.2,5.9,7.9,6.2,32.0,33.7,29.0,51.7,118.5,13.7,10.4,22.1,18.2,37.9,8.2,10.0,34.1,84.2,44.3,47.2,60.7,28.0,36.2,20.6,54.2783333333333
1993,170.5,207.2,189.8,136.4,186.0,49.5,73.1,60.0,70.9,117.9,54.1,32.1,40.8,70.2,132.2,7.4,10.1,15.0,26.6,28.6,47.3,127.1,116.1,117.8,131.1,50.9,5.8,6.0,14.4,31.3,14.4,28.2,23.3,19.2,19.7,7.1,6.6,5.6,7.4,5.7,29.0,32.7,27.6,50.8,115.6,13.1,9.8,21.1,17.1,35.2,7.7,9.5,33.3,81.2,43.0,46.3,57.7,27.0,35.2,20.0,52.93833333333331
1994,167.3,205.9,385.5,137.4,179.6,48.9,68.8,60.4,67.9,116.1,51.0,31.0,39.5,67.2,127.9,7.2,9.8,13.9,25.4,28.3,45.0,120.9,112.8,111.5,127.9,49.3,5.4,5.9,13.9,29.6,13.4,27.8,21.7,19.3,20.1,6.7,6.1,5.4,6.9,5.2,26.4,31.7,26.4,49.9,113.1,12.6,9.2,19.7,16.1,32.8,7.3,9.1,32.4,78.6,42.0,45.4,54.9,26.1,34.3,19.4,54.68666666666669
1995,164.9,203.8,220.9,138.4,173.1,48.0,64.6,61.3,64.9,114.5,47.9,29.9,38.3,64.3,123.6,6.9,9.5,13.1,24.2,28.0,43.1,114.7,109.5,105.5,124.6,47.5,5.1,5.7,13.3,28.1,12.6,27.2,19.6,19.3,20.3,6.4,5.7,5.2,6.5,4.8,24.1,30.8,25.2,49.0,110.8,12.2,8.7,18.1,15.3,30.5,7.0,8.7,31.5,76.3,41.5,44.4,52.3,25.3,33.5,18.9,50.48166666666667
1996,162.8,201.1,224.9,139.0,166.3,47.0,60.4,62.7,62.1,112.7,44.9,28.8,37.2,61.6,119.3,6.7,9.2,12.5,23.0,27.6,41.4,108.6,106.0,99.7,121.3,45.6,4.8,5.5,12.9,26.6,11.9,26.5,17.4,19.3,20.3,6.1,5.4,5.0,6.3,4.5,22.2,30.0,24.1,48.1,108.3,11.8,8.2,16.6,14.6,28.5,6.8,8.4,30.5,74.1,41.4,43.4,49.9,24.4,32.9,18.5,49.12666666666668
1997,160.0,197.5,220.8,138.8,159.8,45.8,56.5,64.6,59.5,110.3,42.1,27.8,36.3,59.0,115.1,6.5,9.0,12.2,21.9,27.3,40.0,102.6,102.5,94.1,117.9,43.6,4.6,5.2,12.4,25.1,11.5,25.7,15.4,19.2,20.2,6.0,5.2,4.7,6.0,4.3,20.5,29.2,23.0,47.2,105.5,11.5,7.8,15.2,14.0,26.6,6.6,8.1,29.4,72.2,41.5,42.2,47.8,23.6,32.3,18.1,47.654999999999966
1998,156.4,193.0,212.8,137.4,153.5,44.5,52.9,66.6,57.0,107.4,39.5,26.8,35.4,56.6,111.0,6.4,8.8,11.9,20.9,26.8,38.8,96.8,98.9,88.8,114.4,41.4,4.4,5.0,11.8,23.8,11.1,24.6,14.0,18.9,19.8,5.8,5.1,4.5,5.9,4.2,18.9,28.4,21.9,46.3,102.0,11.2,7.5,14.0,13.5,25.0,6.4,7.8,28.4,70.2,41.9,41.1,45.9,22.8,31.7,17.7,46.103333333333346
1999,151.7,187.9,200.7,134.4,147.3,43.2,49.7,68.6,54.6,103.9,37.0,25.9,34.6,54.3,107.1,6.3,8.6,11.5,20.1,26.3,37.8,91.2,95.3,83.7,111.2,39.1,4.1,4.7,11.0,22.5,10.6,23.0,13.2,18.3,19.1,5.7,5.0,4.2,5.7,4.1,17.6,27.6,20.9,45.3,98.0,10.9,7.2,13.1,13.0,23.4,6.3,7.6,27.4,68.3,42.1,39.9,44.2,22.0,31.3,17.3,44.44333333333332
